4299957,CE,,,,1498262795
4299955,CE,,youremail@SEMPRAUTILITIES.COM,,2834677059
4299955,AE,,youremail@SEMPRAUTILITIES.COM,,
4299952,CE,,youremail@SEMPRAUTILITIES.COM,,0111536504
4299952,AE,,youremail@SEMPRAUTILITIES.COM,,
4299952,AU,,youremail@SEMPRAUTILITIES.COM,,
4299952,AU,,youremail@SEMPRAUTILITIES.COM,,
4299952,AU,,youremail@SEMPRAUTILITIES.COM,,
4299952,AU,,youremail@SEMPRAUTILITIES.COM,,
4299943,CE,,,,8431474161
4299971,CE,,JCHINTHA@SEMPRAUTILITIES.COM,,1498262795
4299971,AE,10032,JCHINTHA@SEMPRAUTILITIES.COM,,
4299971,CE,,,,1498262795
4299969,CE,,JCHINTHA@SEMPRAUTILITIES.COM,,1498262795
4299969,AE,10032,JCHINTHA@SEMPRAUTILITIES.COM,,
4299969,CE,,,,1498262795
4299959,CE,,JCHINTHA@SEMPRAUTILITIES.COM,,1498262795
4299959,AE,10032,JCHINTHA@SEMPRAUTILITIES.COM,,
4299945,CE,,,,2834677059
4299945,AE,10032,,,
4299945,CE,,,,2834677059
4299943,CE,,,,8431474161
4299943,AE,10032,,,
4299957,CE,,JCHINTHA@SEMPRAUTILITIES.COM,,1498262795
4299957,AE,,JCHINTHA@SEMPRAUTILITIES.COM,,
4299945,CU,,,05212013,
4299955,CU,,,05212013,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299975,CU,,,08202012,
4299967,CE,,,,8431474161
4299975,CE,,JCHINTHA@SEMPRAUTILITIES.COM,,8431474161
4299975,AE,10032,JCHINTHA@SEMPRAUTILITIES.COM,,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
4299945,CU,,,06042010,
4299955,CU,,,06042010,
